Blank1,Blank2,Cab Number,Lat,Long,All counties,Fibre Services Live,Fibre Build Commenced,Fibre Services Planned,cab message
,,KSL1_004,51.692202,-8.524803,,1,,,Fibre Broadband Cabinet is planned for this location
,,KSL1_005,51.705125,-8.52274,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_006,51.707767,-8.530888,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_007,51.70111,-8.519081,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_008,51.71042,-8.522868,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_009,51.713873,-8.521499,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_010,51.70548,-8.530333,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_E01,51.70778,-8.52706,,1,,,Fibre Broadband Cabinet is planned for this location
,,KTH1_002,53.853583,-8.995938,,1,,,Fibre Broadband Cabinet is planned for this location
,,KTH1_E01,53.847908,-8.999986,,1,,,Fibre Broadband Cabinet is planned for this location
,,KTK1_011,52.178332,-8.906213,,3,,,Fibre Broadband Cabinet is Live 
,,KTK1_013,52.178527,-8.900531,,3,,,Fibre Broadband Cabinet is Live 
,,KTK1_E01,52.17559,-8.9131,,1,,,Fibre Broadband Cabinet is planned for this location
,,KUC1_001,53.524469,-7.096898,,1,,,Fibre Broadband Cabinet is planned for this location
,,KUC1_001,53.524469,-7.096898,,1,,,Fibre Broadband Cabinet is planned for this location
,,KUC1_002,53.507214,-7.132174,,1,,,Fibre Broadband Cabinet is planned for this location
,,KUC1_002,53.507214,-7.132174,,1,,,Fibre Broadband Cabinet is planned for this location
,,KUC1_003,53.50645,-7.133984,,1,,,Fibre Broadband Cabinet is planned for this location
,,KUC1_003,53.50645,-7.133984,,1,,,Fibre Broadband Cabinet is planned for this location
,,KUC1_E01,53.51464,-7.139379,,1,,,Fibre Broadband Cabinet is planned for this location
,,KWH1_001,52.17748,-8.260798,,1,,,Fibre Broadband Cabinet is planned for this location
,,KWH1_002,52.174102,-8.242232,,1,,,Fibre Broadband Cabinet is planned for this location
,,KWH1_E01,52.178282,-8.243389,,1,,,Fibre Broadband Cabinet is planned for this location
,,KYG1_001,54.786723,-7.690307,,1,,,Fibre Broadband Cabinet is planned for this location
,,KYG1_E01,54.795952,-7.683447,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_001,53.359771,-6.430214,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_002,53.357809,-6.416365,,3,,,Fibre Broadband Cabinet is Live 
